S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
204,PMLI,501.00,-1.60,-0.32,512.60,512.60,496.10,"3,054.00",502.60
205,PPCL,360.90,20.57,6.04,347.00,370.00,342.00,"206,388.00",340.33
206,PPL,388.00,-3.22,-0.82,392.00,395.00,387.00,"5,895.00",391.22
207,PRIN,840.00,3.15,0.38,839.90,849.00,835.40,"3,370.00",836.85
208,PROFL,490.90,3.54,0.73,490.00,492.00,483.20,"5,405.00",487.36
209,PROFLP,118.00,0.00,0.00,118.00,118.00,118.00,"3,933.00",118.00
210,PRSF,11.08,-0.05,-0.45,11.00,11.08,11.00,900.00,11.13
211,PRVU,203.00,-1.34,-0.66,205.00,205.00,202.30,"71,467.00",204.34
212,PSF,10.85,-0.14,-1.27,10.78,11.00,10.78,"141,175.00",10.99
213,PURE,"1,103.00",-104.20,-8.63,"1,231.00","1,327.90","1,100.00","174,200.00","1,207.20"
214,RADHI,820.10,-15.79,-1.89,840.00,845.00,819.00,"241,374.00",835.89
215,RAWA,787.00,-10.47,-1.31,790.00,797.00,785.00,780.00,797.47
216,RBCL,"14,700.00",175.00,1.20,"14,530.00","14,799.00","14,530.00",40.00,"14,525.00"
217,RBCLPO,"11,515.00",-234.57,-2.00,"11,526.00","11,526.00","11,515.00",40.00,"11,749.57"
218,RFPL,606.00,13.06,2.20,581.10,606.00,578.30,"54,700.00",592.94
219,RHGCL,333.30,-5.37,-1.59,338.00,340.00,331.90,"9,505.00",338.67
220,RHPL,408.10,-39.10,-8.74,438.30,438.30,408.10,"205,171.00",447.20
221,RIDI,280.40,0.08,0.03,283.00,288.00,280.20,"191,722.00",280.32
222,RLFL,468.50,-3.60,-0.76,481.00,481.00,466.70,"9,842.00",472.10
223,RMF1,9.55,-0.05,-0.52,9.68,9.68,9.54,"13,370.00",9.60
224,RMF2,9.60,0.00,0.00,9.60,9.60,9.60,"1,100.00",9.60
225,RNLI,441.60,-2.30,-0.52,443.00,450.00,441.00,"10,648.00",443.90
226,RSDC,658.00,-5.05,-0.76,656.00,672.00,654.00,"5,894.00",663.05
227,RURU,717.30,-3.85,-0.53,721.00,730.00,715.50,"13,021.00",721.15
228,SADBL,403.00,-0.25,-0.06,396.00,406.50,396.00,"35,264.00",403.25
229,SAGF,9.80,0.00,0.00,9.80,9.80,9.80,"3,100.00",9.80
230,SAHAS,551.00,-3.22,-0.58,550.00,566.00,550.00,"110,754.00",554.22
231,SALICO,671.10,0.16,0.02,671.00,671.10,670.90,"5,747.00",670.94
232,SAMAJ,"2,250.00",-35.00,-1.53,"2,330.00","2,330.00","2,250.00",128.00,"2,285.00"
233,SANIMA,316.20,-1.30,-0.41,315.20,317.90,315.10,"32,559.00",317.50
234,SAPDBL,899.00,-55.69,-5.83,973.00,973.00,899.00,"56,415.00",954.69
235,SARBTM,851.30,0.68,0.08,867.60,867.60,850.50,"16,721.00",850.62
236,SBCF,9.60,0.01,0.10,9.59,9.60,9.59,"19,800.00",9.59
237,SBD87,"1,040.00",-21.00,-1.98,"1,040.00","1,040.00","1,040.00",25.00,"1,061.00"
238,SBI,386.20,-1.76,-0.45,394.90,394.90,386.20,"16,440.00",387.96
239,SBL,309.00,-0.79,-0.26,312.50,312.50,307.70,"45,167.00",309.79
240,SCB,614.00,-0.72,-0.12,610.00,614.90,610.00,"8,270.00",614.72
241,SEF,9.92,-0.10,-1.00,9.92,9.92,9.92,900.00,10.02
242,SFCL,479.90,-0.38,-0.08,489.00,489.00,475.20,"9,477.00",480.28
243,SFEF,9.71,0.01,0.10,9.71,9.71,9.71,"1,000.00",9.70
244,SFMF,10.81,-0.18,-1.64,10.81,10.81,10.81,100.00,10.99
245,SGHC,413.00,-19.03,-4.40,438.60,438.60,405.00,"6,694.00",432.03
246,SGIC,550.00,3.16,0.58,545.00,552.00,545.00,"15,968.00",546.84
247,SHEL,314.10,-7.03,-2.19,327.50,329.90,314.10,"994,417.00",321.13
248,SHINE,402.00,0.71,0.18,401.10,402.80,401.00,"18,432.00",401.29
249,SHIVM,515.00,-0.28,-0.05,506.00,523.20,506.00,"128,488.00",515.28
250,SHL,589.00,0.25,0.04,586.90,596.00,576.00,"197,589.00",588.75
251,SHLB,"1,844.00",-7.45,-0.40,"1,888.40","1,888.40","1,824.20",430.00,"1,851.45"
252,SHPC,639.00,-9.16,-1.41,660.00,660.00,635.20,"282,407.00",648.16
253,SICL,734.90,-4.27,-0.58,740.00,740.00,734.90,"14,187.00",739.17
254,SIFC,512.00,-17.04,-3.22,520.00,532.90,508.70,"38,155.00",529.04
255,SIGS2,9.99,0.19,1.94,9.99,9.99,9.99,"20,000.00",9.80
256,SIGS3,10.10,-0.08,-0.79,10.20,10.32,10.10,"1,300.00",10.18
257,SIKLES,878.00,-28.00,-3.09,887.90,887.90,877.00,340.00,906.00
258,SINDU,756.50,6.62,0.88,749.00,775.00,749.00,"23,269.00",749.88
259,SJCL,339.80,11.04,3.36,332.00,345.00,330.00,"56,384.00",328.76
260,SJLIC,427.00,-0.42,-0.10,425.60,430.00,425.60,"14,697.00",427.42
261,SKBBL,792.00,1.72,0.22,785.60,799.80,785.60,"5,743.00",790.28
262,SLBBL,858.00,-14.54,-1.67,856.00,870.00,856.00,"1,484.00",872.54
263,SLBSL,"1,310.00",-14.68,-1.11,"1,303.20","1,331.00","1,303.00","1,468.00","1,324.68"
264,SLCF,9.85,0.08,0.82,9.58,9.90,9.58,"8,700.00",9.77
265,SMATA,775.20,-9.55,-1.22,769.10,802.00,769.10,"4,051.00",784.75
266,SMB,"2,065.00",-29.11,-1.39,"2,094.00","2,094.00","2,065.00",370.00,"2,094.11"
267,SMFBS,"1,703.00",-5.54,-0.32,"1,739.00","1,739.00","1,671.00",157.00,"1,708.54"
268,SMH,823.20,-16.13,-1.92,840.10,840.10,823.20,"1,194.00",839.33
269,SMHL,991.00,-29.58,-2.90,"1,005.00","1,009.00",990.20,"1,374.00","1,020.58"
270,SMJC,550.00,8.51,1.57,541.00,562.00,541.00,"27,527.00",541.49
271,SMPDA,930.00,-0.75,-0.08,930.00,940.00,922.10,323.00,930.75
272,SNLI,473.20,-3.24,-0.68,472.00,479.90,472.00,"10,180.00",476.44
273,SONA,455.10,-4.14,-0.90,450.20,464.90,450.20,"21,506.00",459.24
274,SPC,501.30,-5.71,-1.13,502.00,508.00,500.10,"9,434.00",507.01
275,SPDL,446.00,-9.24,-2.03,464.30,465.00,444.00,"397,280.00",455.24
276,SPHL,666.00,-12.33,-1.82,665.00,675.00,665.00,660.00,678.33
277,SPIL,804.00,3.50,0.44,800.50,804.00,797.50,"5,456.00",800.50
278,SPL,786.00,4.00,0.51,767.00,790.00,767.00,892.00,782.00
279,SRLI,397.10,-2.85,-0.71,400.00,401.10,397.00,"26,639.00",399.95
280,SSHL,245.00,9.31,3.95,239.00,250.50,234.40,"341,846.00",235.69
281,STC,"5,010.00",6.50,0.13,"4,970.00","5,010.00","4,970.00",440.00,"5,003.50"
282,SWBBL,810.00,-6.50,-0.80,809.10,825.00,809.10,"3,731.00",816.50
283,SWMF,695.70,-8.22,-1.17,692.00,700.00,692.00,150.00,703.92
284,TAMOR,525.50,-3.01,-0.57,539.00,539.00,525.00,"23,219.00",528.51
285,TPC,370.60,0.45,0.12,372.00,375.00,365.00,"23,195.00",370.15
286,TRH,950.00,5.01,0.53,944.00,955.00,926.00,"6,092.00",944.99
287,TSHL,670.00,-5.37,-0.80,666.10,675.00,662.00,"1,151.00",675.37
288,TVCL,492.90,2.65,0.54,490.00,507.00,482.20,"8,247.00",490.25
289,UAIL,582.00,11.14,1.95,581.00,585.80,574.00,"27,476.00",570.86
290,UHEWA,557.00,11.87,2.18,545.00,557.00,537.00,"9,741.00",545.13
291,ULBSL,"3,266.00",-35.07,-1.06,"3,251.10","3,266.00","3,251.10",351.00,"3,301.07"
292,ULHC,461.00,-2.46,-0.53,470.00,470.00,457.70,"10,260.00",463.46
293,UMHL,536.00,-12.63,-2.30,537.70,555.00,535.00,"103,309.00",548.63
294,UMRH,598.60,17.39,2.99,581.00,598.60,570.00,"18,276.00",581.21
295,UNHPL,446.00,-5.50,-1.22,451.50,466.00,440.10,"354,340.00",451.50
296,UNL,"46,256.00",135.00,0.29,"47,043.40","47,900.00","46,000.00",400.00,"46,121.00"
297,UNLB,"2,030.00",-6.42,-0.32,"2,011.00","2,050.00","2,010.00",614.00,"2,036.42"
298,UPCL,442.10,-7.23,-1.61,458.30,459.00,442.00,"268,983.00",449.33
299,UPPER,199.70,2.35,1.19,198.00,200.00,197.50,"138,811.00",197.35
300,USHEC,434.50,-2.31,-0.53,440.00,444.00,431.10,"4,780.00",436.81
301,USHL,609.10,0.82,0.13,605.00,640.00,605.00,876.00,608.28
